"Liquidacion","Tipo_Liquidacion","Especie","Recibo"
"","","CDTBCBS0V","1482637"
"","","CDTBCBS0V","1482637"
"","","CDTBCBS0V","1482637"
"","","CDTBCBS0V","1482637"
"","","CDTBCBS0V","1482637"
"","","CDTBCBS0V","1482637"
"","","CDTBCBS0V","1482637"
"","","CDTBCBS0V","1482637"
"","","CDTBCBS0V","1482637"
"","","CDTBCBS0V","1482637"
"","","CDTBCBS0V","1482637"
"","","CDTBCBS0V","1482637"
"118","C","BECO01109A30","1482192"
"118","C","BECO01109A30","1482192"
"118","C","BECO01109A30","1482192"
"118","C","BECO01109A30","1482192"
"118","C","BECO01109A30","1482192"
"118","C","BECO01109A30","1482192"
"81553","","CDTBBO90VD","1482635"
"81553","","CDTBBO90VD","1482635"
"81553","","CDTBBO90VD","1482635"
"81553","","CDTBBO90VD","1482635"
"81553","","CDTBBO90VD","1482635"
"81553","","CDTBBO90VD","1482635"
"81553","","CDTBBO90VD","1482635"
"81553","","CDTBBO90VD","1482635"
"81553","","CDTBBO90VD","1482635"
"81553","","CDTBBO90VD","1482635"
"81553","","CDTBBO90VD","1482635"
"81553","","CDTBBO90VD","1482635"
"81553","","CDTBBO90VD","1482635"
"81553","","CDTBBO90VD","1482635"
"81553","","CDTBBO90VD","1482635"
"81553","","CDTBBO90VD","1482635"
"81553","","CDTBBO90VD","1482635"
"81553","","CDTBBO90VD","1482635"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482669"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
